words,freq
我們,2613
臺灣,2298
可以,1733
自己,1580
他們,1433
沒有,1409
因為,1219
可能,1104
如果,1033
問題,1004
因此,928
生活,924
什麼,913
工作,897
孩子,884
美國,876
廣告,865
經濟,859
社會,858
活動,857
開始,832
大陸,831
世界,826
日本,824
國小,810
但是,798
發展,784
時間,782
市場,769
朋友,763
公司,750
電影,748
兒童,744
中國,732
小朋友,701
由於,701
所以,701
知道,699
現在,695
許多,678
政府,670
發現,670
成為,656
教育,653
雖然,635
認為,615
企業,605
地方,597
必須,596
如何,586
目前,578
不過,571
影響,571
已經,565
政治,563
投資,548
就是,543
關係,543
未來,542
重要,541
出現,530
引擎,529
希望,527
研究,525
北市,522
學生,512
設計,499
時候,497
文化,495
表現,494
國家,491
發生,491
安全,482
進行,480
其他,479
環境,477
表示,475
無法,475
方式,474
需要,473
國內,472
老師,461
方面,458
使用,458
甚至,457
今天,454
國際,448
一樣,447
同時,447
而且,447
非常,441
這樣,439
成長,436
一定,432
一般,431
歷史,431
相當,430
當時,429
過去,428
舉行,428
然而,425
應該,425
臺北,421
故事,417
總統,417
電腦,413
空間,412
大家,411
媽媽,410
如此,409
作品,402
結果,400
部分,395
土地,394
今年,392
主要,392
自然,389
特別,387
學校,382
其中,381
產生,380
傳統,380
增加,380
為什麼,379
產品,379
提供,374
舉辦,374
中心,373
比賽,372
決定,369
最後,369
情況,367
參加,364
這些,364
喜歡,364
系統,362
方法,361
健康,361
只有,358
以及,354
生命,353
家庭,353
比較,350
能力,350
經驗,350
時代,349
造成,349
技術,347
藝術,347
世紀,340
